objt_id,occu_year,occu_mt,occu_de,occu_tm,occu_day,occu_date,end_year,end_mt,end_de,end_tm,adres,rn_adres,resn,ar,amount,ctprvn_cd,sgg_cd,emd_cd,x,y
4898,2021,1,12,1144,화요일,20210112,2021,1,12,1700,강원도 홍천군 영귀미면 좌운리 산216-1,강원도 홍천군 영귀미면 예의촌길 187,입산자실화추정,0.15,7457,42,42720,42720352,14251443.57,4526448.195
4922,2021,1,15,1539,금요일,20210115,2021,1,16,1130,강원도 인제군 인제읍 덕적리 산1,강원도 인제군 인제읍 한석산로 1185-11,입산자실화,0.21,11926,42,42810,42810250,14278006.33,4589995.253
4887,2021,1,17,1538,일요일,20210117,2021,1,17,1900,강원도 동해시 부곡동 산159-1,null,미상,1,48922,42,42170,42170110,14369374.53,4514082.132
4905,2021,1,20,1446,수요일,20210120,2021,1,20,1630,강원도 횡성군 공근면 공근리 산22,null,입산자실화,0.09,7655,42,42730,42730360,14245706.04,4520672.106
4894,2021,1,24,1747,일요일,20210124,2021,1,24,2100,강원도 홍천군 홍천읍 하오안리 산137,null,전신주공사,0.7,32314,42,42720,42720250,14229239.95,4533509.131
4913,2021,2,5,1419,금요일,20210205,2021,2,5,1911,강원도 정선군 북평면 장열리 산74,null,조사중,2.02,113137,42,42770,42770340,14325994.97,4504345.34
4893,2021,2,9,1319,화요일,20210209,2021,2,9,2300,강원도 삼척시 신기면 서하리 산71,null,연탄재추정,3.7,81730,42,42230,42230360,14367259.78,4487774.631
4897,2021,2,10,1412,수요일,20210210,2021,2,10,1530,강원도 홍천군 영귀미면 좌운리 산80,null,입산자실화,0.01,3022,42,42720,42720352,14250647.22,4530432.04
4885,2021,2,16,1434,화요일,20210216,2021,2,16,1920,강원도 강릉시 옥계면 산계리 산44,null,입산자실화(담뱃불),2.7,144139,42,42150,42150350,14361638.46,4524078.893
4884,2021,2,18,1456,목요일,20210218,2021,2,18,1800,강원도 강릉시 성산면 금산리 산83-2,강원도 강릉시 성산면 금산안길 90-10,주택화재,0.4,33883,42,42150,42150310,14342733.89,4542207.748
4924,2021,2,18,2230,목요일,20210218,2021,2,19,1000,강원도 양양군 양양읍 사천리 18-3,강원도 양양군 양양읍 사천길 65-4,미상,3.62,343967,42,42830,42830250,14318359.15,4595122.721
4914,2021,2,20,1550,토요일,20210220,2021,2,22,300,강원도 정선군 여량면 구절리 산1,강원도 정선군 여량면 중동길 57,아궁이재처리부주의,24.56,1300739,42,42770,42770370,14335089.33,4513989.409
4919,2021,2,20,1313,토요일,20210220,2021,2,20,1900,강원도 화천군 상서면 다목리 산1-38,null,입산자실화추정,0.5,24127,42,42790,42790330,14202968.54,4604794.046
4918,2021,2,22,1414,월요일,20210222,2021,2,22,1606,강원도 화천군 간동면 간척리 산20-2,null,미상,0.1,5213,42,42790,42790310,14230298.09,4583568.235
4902,2021,2,26,1333,금요일,20210226,2021,2,26,1600,강원도 홍천군 북방면 전치곡리 산20-1,null,입산자실화,0.1,10080,42,42720,42720380,14222563.1,4541988.543
4908,2021,3,11,1440,목요일,20210311,2021,3,11,1800,강원도 영월군 김삿갓면 대야리 산36,null,농산폐기물소각,4.42,216723,42,42750,42750325,14311074.39,4455152.33
4895,2021,3,23,1552,화요일,20210323,2021,3,24,1100,강원도 홍천군 화촌면 성산리 산18,강원도 홍천군 화촌면 성산로 210-13,입산자실화,20,924238,42,42720,42720310,14246327.13,4547630.287
4892,2021,3,30,1411,화요일,20210330,2021,3,30,2130,강원도 삼척시 가곡면 탕곡리 산24,null,군 발물처리,1.28,51709,42,42230,42230350,14383249.4,4460539.151
4920,2021,3,31,1556,수요일,20210331,2021,3,1,1100,강원도 양구군 양구읍 도사리 산1,null,노후화된불발탄,0.5,26817,42,42800,42800250,14248140.05,4605899.568
4912,2021,3,31,1538,수요일,20210331,2021,3,1,1254,강원도 정선군 신동읍 운치리 산146,null,예초기불씨,10.7,640453,42,42770,42770259,14318477.42,4475230.831
