damagearea,endday,endmonth,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
0.1,03,05,2023,쓰레기소각,산185-3,간파,연천,전곡,경기,03,수요일,05,14:09:00,2023
1.4,03,05,2023,농산부산물소각,산104,예밀,영월,김삿갓,강원,03,수요일,05,13:55:00,2023
3,03,05,2023,입산자실화,산30,토정,부여,홍산,충남,03,수요일,05,12:51:00,2023
2,03,05,2023,입산자실화,산1-1,명곶,양구,국토정중앙,강원,03,수요일,05,12:27:00,2023
0.1,02,05,2023,입산자실화,산47-1,장현,서산,지곡,충남,02,화요일,05,11:31:00,2023
1,04,05,2023,기타,산302,화암,정선,화암,강원,04,목요일,05,15:38:00,2023
0.02,04,05,2023,기타,산138,봉소,영동,학산,충북,04,목요일,05,15:16:00,2023
0.01,04,05,2023,입산자실화,산183-2,연산,연제,대산,부산,04,목요일,05,11:18:00,2023
0.01,27,04,2023,입산자실화,산12,신천,시흥,동향,경기,27,목요일,04,17:26:00,2023
0.03,27,04,2023,입산자실화,산45-12,기은,서산,입암,충남,27,목요일,04,14:17:00,2023
1,27,04,2023,기타,산86,신송,진안,거제,전북,27,목요일,04,11:40:00,2023
0.2,23,04,2023,기타,산27,교,영양,소초,경북,23,일요일,04,19:21:00,2023
0.01,23,04,2023,쓰레기소각,산47,소랑,거제,일산동,경남,23,일요일,04,10:24:00,2023
0.1,23,04,2023,입산자실화,산148,둔둔,원주,동강,강원,23,일요일,04,09:47:00,2023
0.16,01,03,2023,담뱃불실화,산20,사리현,고양,양남,경기,01,수요일,03,14:45:00,2023
0.3,01,03,2023,쓰레기소각,산243,곡천,나주,양보,전남,01,수요일,03,14:37:00,2023
0.3,01,03,2023,기타,산23-1,산서,경주,미양,경북,01,수요일,03,05:31:00,2023
0.1,02,03,2023,기타,산19-47,지례,하동,광덕,경남,02,목요일,03,21:48:00,2023
0.66,02,03,2023,농산부산물소각,산75-4,개정,안성,성수,경기,02,목요일,03,17:21:00,2023
0.1,02,03,2023,쓰레기소각,산14-1,대덕,천안 동남,개령,충남,02,목요일,03,16:18:00,2023
0.2,02,03,2023,입산자실화,산226,태평,임실,봉강,전북,02,목요일,03,15:20:00,2023
10,02,03,2023,기타,산5,동부,김천,청평,경북,02,목요일,03,15:18:00,2023
1,02,03,2023,입산자실화,산169,조령,광양,정남,전남,02,목요일,03,15:06:00,2023
1,02,03,2023,기타,산161-12,호명,가평,용,경기,02,목요일,03,13:42:00,2023
0.43,02,03,2023,쓰레기소각,산76외3필지,백,화성,완산,경기,02,목요일,03,12:52:00,2023
0.5,02,03,2023,기타,산1-2,월계,담양,미탄,전남,02,목요일,03,11:46:00,2023
0.02,02,03,2023,기타,산7-1,웅천,여수,봉평,전남,02,목요일,03,09:48:00,2023
0.3,02,03,2023,기타,산72,동호,광산,탄천,광주,02,목요일,03,09:27:00,2023
0.06,02,03,2023,기타,산44-1,인왕,경주,신북,경북,02,목요일,03,06:38:00,2023
0.02,02,03,2023,입산자실화,산141,효자,전주,율어,전북,02,목요일,03,04:18:00,2023
0.2,28,02,2023,건축물화재비화,산80,율치,평창,풍양,강원,28,화요일,02,20:09:00,2023
0.03,28,02,2023,기타,산80-1,진조,평창,은척,강원,28,화요일,02,19:27:00,2023
0.3,28,02,2023,쓰레기소각,103-2,남산,공주,왕궁,충남,28,화요일,02,17:11:00,2023
0.24,28,02,2023,농산부산물소각,산129,호암,문경,사매,경북,28,화요일,02,16:56:00,2023
0.1,28,02,2023,농산부산물소각,산27,문양,보성,비봉,전남,28,화요일,02,16:39:00,2023
37,01,03,2023,기타,산6-1,와룡,예천,화남,경북,28,화요일,02,15:46:00,2023
0.5,28,02,2023,농산부산물소각,산170,하흘,상주,금수,경북,28,화요일,02,15:40:00,2023
0.8,28,02,2023,농산부산물소각,산17-1,동촌,익산,안중,전북,28,화요일,02,15:25:00,2023
1,28,02,2023,농산부산물소각,산15,오신,남원,용주,전북,28,화요일,02,15:00:00,2023
1,28,02,2023,기타,산4,봉산,완주,옥산,전북,28,화요일,02,14:18:00,2023
51,28,02,2023,기타,산9,월곡,영천,백아,경북,28,화요일,02,14:17:00,2023
9.1,28,02,2023,쓰레기소각,466.0,영천,성주,원동,경북,28,화요일,02,12:36:00,2023
0.1,26,04,2023,기타,20-39,미곡,북,대곡,세종,26,수요일,04,11:20:00,2023
0.03,08,03,2023,기타,산7-1,조야,평택,남,대구,08,수요일,03,14:20:00,2023
0.15,08,03,2023,농산부산물소각,산5,삼정,합천,맹동,경기,08,수요일,03,14:09:00,2023
163,11,03,2023,입산자실화,산19-4,월평,부여,구산,경남,08,수요일,03,13:59:00,2023
2,08,03,2023,농산부산물소각,산26-1,홍연,화순,부산,충남,08,수요일,03,13:34:00,2023
2,08,03,2023,쓰레기소각,산10,송단,동,내산,전남,08,수요일,03,10:50:00,2023
0.3,08,03,2023,기타,산98,백안,양산,군남,대구,08,수요일,03,10:46:00,2023
0.06,24,04,2023,기타,산86,화제,진주,안면,경남,24,월요일,04,16:49:00,2023
0.05,24,04,2023,쓰레기소각,산58,대곡,군산,옥도,경남,24,월요일,04,13:34:00,2023
0.01,24,04,2023,입산자실화,산15-5,미룡,양주,성수,전북,24,월요일,04,10:01:00,2023
0.01,24,04,2023,건축물화재비화,171-10,경신,음성,간동,경기,24,월요일,04,08:39:00,2023
0.1,24,04,2023,기타,산41-1,두성,창원 마산합포,남성,충북,24,월요일,04,06:22:00,2023
0.45,23,04,2023,건축물화재비화,산33-1,수정,장흥,북도,경남,22,토요일,04,22:30:00,2023
0.01,22,04,2023,입산자실화,347-5,호계,부여,여산,전남,22,토요일,04,17:32:00,2023
0.33,22,04,2023,기타,산10-4,운치,연천,소원,충남,22,토요일,04,16:05:00,2023
0.1,22,04,2023,기타,산103,왕림,태안,공성,경기,22,토요일,04,15:15:00,2023
0.01,22,04,2023,입산자실화,307-7,중장,군산,적성,충남,22,토요일,04,10:33:00,2023
0.03,22,04,2023,기타,산1,어청도,진안,국토정중앙,전북,19,수요일,04,23:40:00,2023
0.5,22,03,2023,쓰레기소각,산226,좌포,화천,무풍,전북,22,수요일,03,19:47:00,2023
0.05,22,03,2023,기타,산41-3,오음,청주 상당,소양,강원,22,수요일,03,17:15:00,2023
0.5,22,03,2023,건축물화재비화,산23,귀래,옹진,백운,충북,22,수요일,03,16:00:00,2023
0.03,22,03,2023,기타,산21-2,신도,익산,주왕산,인천,22,수요일,03,15:42:00,2023
0.5,22,03,2023,기타,산62,두여,태안,유림,전북,22,수요일,03,14:31:00,2023
0.2,22,03,2023,기타,산267,신덕,상주,왕징,충남,22,수요일,03,12:41:00,2023
0.5,22,03,2023,입산자실화,산62,영오,단양,남한산성,경북,22,수요일,03,12:37:00,2023
1,22,03,2023,기타,산1-1,성곡,양구,두촌,충북,22,수요일,03,12:20:00,2023
0.5,22,03,2023,기타,산149,적,무주,안의,강원,22,수요일,03,12:16:00,2023
0.1,22,03,2023,입산자실화,산14-1,철목,완주,안강,전북,22,수요일,03,11:25:00,2023
0.2,22,03,2023,기타,산263,명덕,제천,양지,전북,22,수요일,03,11:07:00,2023
0.4,22,03,2023,담뱃불실화,산71,평동,청송,황전,충북,22,수요일,03,01:10:00,2023
0.5,20,04,2023,기타,산53-1,주산지,함양,강동,경북,20,목요일,04,14:50:00,2023
0.04,14,04,2023,기타,산68-8,옥매,연천,팔덕,경남,14,금요일,04,13:11:00,2023
0.05,31,03,2023,기타,산97-7,무등,광주,광산,경기,31,금요일,03,20:00:00,2023
0.01,31,03,2023,입산자실화,산70-3,하번천,홍천,외동,경기,31,금요일,03,16:47:00,2023
0.8,31,03,2023,기타,산134-133,천현,함양,별량,강원,31,금요일,03,15:45:00,2023
0.1,31,03,2023,건축물화재비화,산15,당본,원주,선남,경남,31,금요일,03,15:17:00,2023
1,31,03,2023,건축물화재비화,산38-2,봉산,경주,진부,강원,31,금요일,03,14:46:00,2023
0.22,31,03,2023,입산자실화,산62-9,옥산,용인 처인,화암,경북,31,금요일,03,14:33:00,2023
0.16,31,03,2023,쓰레기소각,803-9,주북,순천,미산,경기,31,금요일,03,13:15:00,2023
0.5,31,03,2023,담뱃불실화,산114-2,대치,경주,청풍,전남,31,금요일,03,12:29:00,2023
0.27,31,03,2023,기타,26.0,호명,순창,청성,경북,31,금요일,03,12:10:00,2023
0.1,31,03,2023,기타,산28-1,청계,부강,심천,전북,31,금요일,03,11:39:00,2023
0.01,31,03,2023,기타,산250,운곡,광산,한수,세종,31,금요일,03,09:50:00,2023
0.09,31,03,2023,기타,산34,오운,경주,용진,광주,31,금요일,03,00:39:00,2023
