objt_id,occu_year,occu_mt,occu_de,occu_tm,occu_day,occu_date,end_year,end_mt,end_de,end_tm,adres,rn_adres,resn,ar,amount,ctprvn_cd,sgg_cd,emd_cd,x,y
,,,,,,20220103,,,,,강원도 인제군 남 수산리 산46-60,,기타,0.8,37609,,,,,
,,,,,,20220104,,,,,강원도 춘천시 동 장학리 산30-3,,기타,0.2,9669,,,,,
,,,,,,20220110,,,,,강원도 평창군 진부 상진부리 산40,,기타,0.01,742,,,,,
,,,,,,20220112,,,,,강원도 평창군 진부 상진부리 산143,,건축물화재비화,0.15,10959,,,,,
,,,,,,20220114,,,,,강원도 정선군 정선 귤암리 산39,,입산자실화,0.3,16094,,,,,
,,,,,,20220119,,,,,강원도 인제군 기린 북리 산325,,기타,0.2,9644,,,,,
,,,,,,20220130,,,,,강원도 춘천시 남 가정리 산112,,기타,0.1,7407,,,,,
,,,,,,20220131,,,,,강원도 춘천시 남 한덕리 산15,,농산부산물소각,0.2,16252,,,,,
,,,,,,20220204,,,,,강원도 정선군 화암 화암리 산294,,기타,0.1,6457,,,,,
,,,,,,20220209,,,,,강원도 춘천시 신북 용산리 산102-1,,기타,0.05,3837,,,,,
,,,,,,20220211,,,,,강원도 양양군 양양 감곡리 산235,,기타,0.1,7169,,,,,
,,,,,,20220212,,,,,강원도 평창군 대관령 유천리 산339-2,,기타,0.1,9978,,,,,
,,,,,,20220213,,,,,강원도 화천군 사내 삼일리 산9-21,,쓰레기소각,0.04,8910,,,,,
,,,,,,20220214,,,,,강원도 원주시 태장리 산155-1,,건축물화재비화,0.4,22536,,,,,
,,,,,,20220219,,,,,강원도 원주시 행구리 산43-2,,기타,0.2,20233,,,,,
,,,,,,20220221,,,,,강원도 원주시 판부 서곡리 산3,,건축물화재비화,0.1,8072,,,,,
,,,,,,20220222,,,,,강원도 동해시 이로리 산273,,쓰레기소각,3.95,181164,,,,,
,,,,,,20220223,,,,,강원도 평창군 진부 하진부리 산236,,기타,0.16,4919,,,,,
,,,,,,20220224,,,,,강원도 강릉시 사천면 노동리 산76,,기타,0.09,5874,,,,,
,,,,,,20220224,,,,,강원도 평창군 방림 계촌리 산353-5,,기타,4.1,142346,,,,,
,,,,,,20220224,,,,,강원도 홍천군 두촌 역내리 산14-4,,기타,0.6,32498,,,,,
,,,,,,20220224,,,,,강원도 화천군 하남 계성리 산19,,기타,1,30967,,,,,
,,,,,,20220226,,,,,강원도 인제군 기린 현리 산131,,기타,8.69,407657,,,,,
,,,,,,20220226,,,,,강원도 횡성군 서원 창촌리 산12-1,,기타,0.06,6640,,,,,
,,,,,,20220304,,,,,강원도 강릉시 성산면 송암리 산114-1,,기타,30.89,1631599,,,,,
,,,,,,20220304,,,,,강원도 영월군 김삿갓 외룡리 산5,,기타,184.01,8988759,,,,,
,,,,,,20220305,,,,,강원도 강릉시 옥계면 남양리 산453-1,,기타,4190.38,213649865,,,,,
,,,,,,20220308,,,,,강원도 홍천군 북방 원소리 산187,,쓰레기소각,1.1,51897,,,,,
,,,,,,20220312,,,,,강원도 춘천시 동산 군자리 산12-13,,기타,0.33,10991,,,,,
,,,,,,20220312,,,,,강원도 홍천군 서석 생곡리 산41-3,,쓰레기소각,8,376303,,,,,
,,,,,,20220329,,,,,강원도 삼척시 가곡 탕곡리 산7,,입산자실화,0.65,10211,,,,,
,,,,,,20220404,,,,,강원도 강릉시 왕산면 왕산리 산210,,기타,0.3,15870,,,,,
,,,,,,20220410,,,,,강원도 고성군 토성 원암리 산112,,기타,0.94,17204,,,,,
,,,,,,20220410,,,,,강원도 양구군 양구 송청리 산43,,쓰레기소각,720,28333254,,,,,
,,,,,,20220410,,,,,강원도 인제군 북 월학리 산328,,기타,13,751352,,,,,
,,,,,,20220410,,,,,강원도 화천군 상서 파포리 산16,,기타,3.3,95115,,,,,
,,,,,,20220411,,,,,강원도 정선군 남 문곡리 산91-1,,기타,3.5,235254,,,,,
,,,,,,20220412,,,,,강원도 홍천군 서 길곡리 산43,,기타,0.3,37554,,,,,
,,,,,,20220415,,,,,강원도 춘천시 남산 강촌리 산156-2,,기타,0.02,1320,,,,,
,,,,,,20220417,,,,,강원도 인제군 남 남전리 산204,,기타,0.2,9617,,,,,
,,,,,,20220420,,,,,강원도 영월군 북 마차리 산5-1,,기타,12.51,637117,,,,,
,,,,,,20220421,,,,,강원도 양구군 양구 상무룡리리 산289-3,,기타,0.01,550,,,,,
,,,,,,20220421,,,,,강원도 춘천시 북산 오항리 산125-1,,입산자실화,1.12,52982,,,,,
,,,,,,20220422,,,,,강원도 양양군 현북 원일전리 산59,,기타,70.44,2746047,,,,,
,,,,,,20220422,,,,,강원도 춘천시 서 방동리 산110-2,,기타,0.6,20386,,,,,
,,,,,,20220424,,,,,강원도 강릉시 주문진읍 교향리 산59,,쓰레기소각,0.01,484,,,,,
,,,,,,20220424,,,,,강원도 강릉시 죽헌리 산115-1,,기타,0.06,2951,,,,,
,,,,,,20220424,,,,,강원도 횡성군 둔내 화동리 산209,,기타,0.02,1304,,,,,
,,,,,,20220425,,,,,강원도 영월군 북 마차리 산1-1,,기타,0.05,3634,,,,,
,,,,,,20220503,,,,,강원도 태백시 장성리 산1,,기타,0.24,596,,,,,
,,,,,,20220509,,,,,강원도 평창군 대관령 유천리 산325-1,,기타,0.05,1861,,,,,
,,,,,,20220512,,,,,강원도 횡성군 안흥 소사리 산274-1,,기타,0.15,9172,,,,,
,,,,,,20220515,,,,,강원도 홍천군 두촌 철정리 산37-1,,기타,0.18,8869,,,,,
,,,,,,20220517,,,,,강원도 횡성군 갑천 상대리 산229,,기타,0.03,2685,,,,,
,,,,,,20220518,,,,,강원도 삼척시 하장 추동리 산1-1,,기타,2.25,106404,,,,,
,,,,,,20220518,,,,,강원도 원주시 소초 수암리 산218,,기타,0.2,14484,,,,,
,,,,,,20220518,,,,,강원도 철원군 갈말 동막리 산123,,기타,0.15,9142,,,,,
,,,,,,20220520,,,,,강원도 정선군 임계 송계리 산166,,기타,1.2,179429,,,,,
,,,,,,20220521,,,,,강원도 원주시 신림 황둔리 산134,,기타,0.01,3153,,,,,
,,,,,,20220524,,,,,강원도 정선군 여량 유천리 산98,,쓰레기소각,0.1,5832,,,,,
,,,,,,20220525,,,,,강원도 인제군 기린 서리 산39,,기타,0.21,14777,,,,,
,,,,,,20220526,,,,,강원도 강릉시 유산리 산72-1,,건축물화재비화,0.02,1437,,,,,
,,,,,,20220602,,,,,강원도 정선군 남 무릉리 산475,,기타,0.32,24933,,,,,
,,,,,,20220604,,,,,강원도 강릉시 왕산면 고단리 산214-1,,기타,0.06,4692,,,,,
,,,,,,20220620,,,,,강원도 횡성군 안흥 가천리 산10,,기타,0.01,707,,,,,
,,,,,,20220922,,,,,강원도 홍천군 두촌 자은리 산34-12,,기타,0.12,5816,,,,,
,,,,,,20220924,,,,,강원도 원주시 소초 학곡리 산35,,기타,0.01,846,,,,,
,,,,,,20221001,,,,,강원도 양양군 서 용천리 산75,,기타,0.01,789,,,,,
,,,,,,20221002,,,,,강원도 삼척시 원덕 임원리 산379,,기타,0.04,2280,,,,,
,,,,,,20221022,,,,,강원도 정선군 임계 도전리 산64,,담뱃불실화,0.1,3284,,,,,
,,,,,,20221125,,,,,강원도 강릉시 대전리 산188-2외7,,기타,1,61892,,,,,
,,,,,,20221127,,,,,강원도 양양군 현북 어성전리 산59-12,,기타,0.01,644,,,,,
,,,,,,20221127,,,,,강원도 평창군 용평 속사리 산210,,쓰레기소각,0.04,3116,,,,,
