objt_id,occu_year,occu_mt,occu_de,occu_tm,occu_day,occu_date,end_year,end_mt,end_de,end_tm,adres,rn_adres,resn,ar,amount,ctprvn_cd,sgg_cd,emd_cd,x,y,latitude,longitude
16,2011,01,22,2346,토요일,2011-01-22,2011,01,23,0010,강원도 강릉시 죽헌동 산108-41,,담뱃불실화,0.3,480,42,42150,42150133,14343202.5,4547488.405,37.773619,128.8472273
26,2011,01,31,0915,월요일,2011-01-31,2011,02,01,0810,강원도 양양군 강현면 금풍리 산37,,주택화재비화,3.5,27343,42,42830,42830350,14315609.91,4595268.602,38.112114,128.5993637
29,2011,01,31,1814,월요일,2011-01-31,2011,02,01,1030,강원도 양양군 현남면 상월천리 산92,,주택화재비화,30,786740,42,42830,42830340,14328611.86,4570237.046,37.9349891,128.7161778
30,2011,02,01,0915,화요일,2011-02-01,2011,02,01,1038,강원도 강릉시 대전동 산147-3,,입산자실화추정,0.2,264,42,42150,42150134,14342966.27,4548478.373,37.7806481,128.8451053
48,2011,02,11,1750,금요일,2011-02-11,2011,02,11,2020,강원도 홍천군 내촌면 물걸리 산5,,입산자실화,0.3,4864,42,42720,42720330,14268483.85,4551213.599,37.8000489,128.1759286
69,2011,03,09,1315,수요일,2011-03-09,2011,03,09,1750,강원도 영월군 영월읍 정양리 산1-1,,도로공사쓰레기소각,2,62854,42,42750,42750250,14306070.35,4461527.966,37.1607319,128.5136497
71,2011,03,09,1720,수요일,2011-03-09,2011,03,09,1830,강원도 춘천시 북산면 조교리 산439,,주택화재비화,0.3,6563,42,42110,42110380,14245068,4569824.159,37.932058,127.965667
80,2011,03,11,1343,금요일,2011-03-11,2011,03,11,1455,강원도 횡성군 우천면 정금리 산21,,입산자실화추정,0.1,5487,42,42730,42730310,14262858.66,4510981.854,37.513936,128.1254882
102,2011,03,14,1940,월요일,2011-03-14,2011,03,14,2100,강원도 영월군 영월읍 정양리 산80,,입산자실화추정,0.1,64,42,42750,42750250,14306779.17,4460143.101,37.1508168,128.520017
112,2011,03,18,1200,금요일,2011-03-18,2011,03,18,1250,강원도 홍천군 홍천읍 연봉리 산9-1,,입산자실화추정,0.2,5018,42,42720,42720250,14236327.81,4533441.804,37.673823,127.8871472
126,2011,03,24,1300,목요일,2011-03-24,2011,03,24,1415,강원도 화천군 화천읍 풍산리 산240,,농산폐기물소각,0.7,13004,42,42790,42790250,14221784.71,4598348.748,38.2198155,127.7724077
154,2011,04,01,1050,금요일,2011-04-01,2011,04,01,1353,강원도 정선군 정선읍 신월리 산18,,농산폐기물소각,0.3,26858,42,42770,42770250,14326158.92,4491369.311,37.3740654,128.6941137
161,2011,04,01,1415,금요일,2011-04-01,2011,04,01,1645,강원도 삼척시 노곡면 상군천리 산13,,주택화재비화,0.5,27545,42,42230,42230330,14373683.3,4484272.389,37.3230664,129.1225
171,2011,04,05,1108,화요일,2011-04-05,2011,04,05,1140,강원도 춘천시 남면 관천리 산48,,입산자실화추정,0.1,6285,42,42110,42110340,14195560.77,4541052.598,37.7279324,127.5209141
177,2011,04,06,1450,수요일,2011-04-06,2011,04,06,1600,강원도 철원군 철원읍 화지리 산52,,입산자실화추정,0.2,319,42,42780,42780250,14160782.46,4609025.244,38.2092982,127.2085172
180,2011,04,06,1627,수요일,2011-04-06,2011,04,06,1700,강원도 강릉시 왕산면 도마리 산456-1,,입산자실화,0.1,3012,42,42150,42150320,14341436.34,4531077.331,37.6570633,128.830467
182,2011,04,09,1230,토요일,2011-04-09,2011,04,09,1257,강원도 양구군 동면 덕곡리 산44-2,,입산자실화추정,0.04,1257,42,42800,42800320,14252719.52,4606657.155,38.192571,128.0344069
183,2011,04,09,1255,토요일,2011-04-09,2011,04,09,1340,강원도 양구군 남면 창리 산72,,쓰레기소각,0.03,3068,42,42800,42800310,14253055.61,4589973.57,38.0746856,128.0374242
185,2011,04,10,1219,일요일,2011-04-10,2011,04,10,1308,강원도 화천군 하남면 원천리 산16,,주택난방용 불씨비화,0.1,3504,42,42790,42790320,14212244,4591095.968,38.0826269,127.6708052
196,2011,04,13,1502,수요일,2011-04-13,2011,04,13,1750,강원도 양양군 손양면 삽존리 산57,,입산자실화추정,4,114771,42,42830,42830320,14318515.72,4584390.462,38.0351862,128.6254657
198,2011,04,13,1605,수요일,2011-04-13,2011,04,13,1710,강원도 삼척시 도계읍 고사리 산18,,어린이불장난,0.2,8151,42,42230,42230250,14367651.56,4478510.619,37.2822084,129.0668492
199,2011,04,13,1650,수요일,2011-04-13,2011,04,13,1750,강원도 영월군 수주면 운학리 1683-2,,쓰레기소각,0.15,6155,42,42750,42750370,14268929.03,4484892.493,37.32782020000001,128.1800045
200,2011,04,13,2340,수요일,2011-04-13,2011,04,14,0230,강원도 춘천시 신동면 증리 산107-28,,입산자실화추정,0.5,8757,42,42110,42110330,14218484.25,4552753.93,37.81101160000001,127.7268572
204,2011,04,16,1825,토요일,2011-04-16,2011,04,16,1930,강원도 춘천시 남산면 강촌리 산37-1,,입산자실화추정,0.1,8213,42,42110,42110400,14211722.48,4553869.675,37.8189305,127.666115
207,2011,04,17,1240,일요일,2011-04-17,2011,04,17,1420,강원도 인제군 남면 신월리 산36,,입산자실화,0.3,9857,42,42810,42810310,14257538.57,4582366.171,38.0208685,128.0776946
209,2011,04,17,1422,일요일,2011-04-17,2011,04,17,1508,강원도 횡성군 청일면 고시리 산14,,농산폐기물소각,0.2,4340,42,42730,42730350,14271311.19,4520480.734,37.5816057,128.2014087
216,2011,04,20,1415,수요일,2011-04-20,2011,04,20,1510,강원도 횡성군 청일면 춘당리 산19,,농산폐기물소각,0.6,11051,42,42730,42730350,14265404.49,4525332.94,37.6161415,128.1483482
227,2011,05,14,1430,토요일,2011-05-14,2011,05,14,1509,강원도 철원군 동송읍 오지리 1113-14,,쓰레기소각,0.1,1496,42,42780,42780259,14162110.43,4604713.702,38.17885810000001,127.220446
230,2011,06,12,1425,일요일,2011-06-12,2011,06,12,1830,강원도 삼척시 마평동 산78-6,,입산자실화추정,0.1,6300,42,42230,42230115,14374792.88,4498455.947,37.4246337,129.1310039
241,2012,01,11,1515,수요일,2012-01-11,2012,01,11,1650,강원도 홍천군 홍천읍 하오안리 산30-2,,등산객실화,0.03,2177,42,42720,42720250,14232801.52,4531659.394,37.6611492,127.8554736
244,2012,02,05,1528,일요일,2012-02-05,2012,02,05,1649,강원도 고성군 거진읍 거진리 산75-1,,입산자실화,0.2,6949,42,42820,42820253,14299749.38,4643532.069,38.4524466,128.4568918
245,2012,02,16,1405,목요일,2012-02-16,2012,02,16,1515,강원도 원주시 소초면 둔둔리 산115-3,,주택화재비화,0.1,4991,42,42130,42130310,14247307.4,4501655.654,37.4490132,127.9879276
252,2012,02,28,1440,화요일,2012-02-28,2012,02,28,1440,강원도 양구군 동면 팔랑리 631,,성묘객실화,0.06,1328,42,42800,42800320,14256715.77,4609538.074,38.2129082,128.0703076
259,2012,03,12,1515,월요일,2012-03-12,2012,03,12,1640,강원도 횡성군 갑천면 포동리 산40-2,,주택화재비화,0.1,5186,42,42730,42730340,14261424.57,4514337.498,37.5378598,128.1125942
271,2012,03,30,1726,금요일,2012-03-30,2012,03,30,1900,강원도 양구군 양구읍 웅진리 산1-37,,주택화재비화,0.1,6486,42,42800,42800250,14242634.55,4585542.082,38.0407762,127.9462402
290,2012,04,09,1629,월요일,2012-04-09,2012,04,09,1820,강원도 춘천시 동면 품걸리 산1-1,,산나물채취객실화,0.02,2033,42,42110,42110310,14238563.38,4560026.225,37.8662945,127.9178624
295,2012,04,15,1520,일요일,2012-04-15,2012,04,15,1640,강원도 평창군 진부면 상진부리 산159,,담뱃불실화,0.12,8990,42,42760,42760360,14315240.39,4536995.491,37.6727466,128.5576669
296,2012,04,15,2017,일요일,2012-04-15,2012,04,15,2150,강원도 삼척시 도계읍 신리 산138-7,,벌채작업에 전선줄 스파크,0.03,2267,42,42230,42230250,14367268.25,4477471.585,37.1887039,129.0958151
299,2012,04,17,1520,화요일,2012-04-17,2012,04,17,1615,강원도 영월군 북면 문곡리 산159,,건축물화재비화,0.1,5314,42,42750,42750330,14295476.93,4485990.893,37.212342,128.4212903
305,2012,04,18,1609,수요일,2012-04-18,2012,04,18,1726,강원도 철원군 갈말읍 문혜리 산277,,입산자실화,0.15,4732,42,42780,42780256,14180753.88,4604258.503,38.17759970000001,127.3957373
308,2012,04,19,1416,목요일,2012-04-19,2012,04,19,2300,강원도 홍천군 화촌면 내삼포리 산51,,임산물채취객실화,6,144481,42,42720,42720310,14241804,4547020.693,37.7352557,127.9850021
310,2012,04,19,1500,목요일,2012-04-19,2012,04,19,1840,강원도 횡성군 청일면 유동리 산49,,입산자실화,1.5,68215,42,42730,42730350,14270197.32,4517817.219,37.5919631,128.1811924
311,2012,04,20,1750,금요일,2012-04-20,2012,04,20,1840,강원도 영월군 주천면 신일리 산119,,쓰레기소각,0.05,3974,42,42750,42750360,14277732.3,4473969.85,37.2654071,128.2401146
313,2012,04,24,1433,화요일,2012-04-24,2012,04,24,1520,강원도 동해시 귀운동 산74,,입산자실화,0.01,8196,42,42170,42170119,14366403.63,4520149.26,37.46734410000001,129.0746383
