code,address
4200000000,강원도
4211000000,강원도 춘천시
4211010100,강원도 춘천시 봉의동
4211010200,강원도 춘천시 요선동
4211010300,강원도 춘천시 낙원동
4211010400,강원도 춘천시 중앙로1가
4211010500,강원도 춘천시 중앙로2가
4211010600,강원도 춘천시 중앙로3가
4211010700,강원도 춘천시 옥천동
4211010800,강원도 춘천시 조양동
4211010900,강원도 춘천시 죽림동
4211011000,강원도 춘천시 운교동
4211011100,강원도 춘천시 약사동
4211011200,강원도 춘천시 효자동
4211011300,강원도 춘천시 소양로1가
4211011400,강원도 춘천시 소양로2가
4211011500,강원도 춘천시 소양로3가
4211011600,강원도 춘천시 소양로4가
4211011700,강원도 춘천시 근화동
4211011800,강원도 춘천시 우두동
4211011900,강원도 춘천시 사농동
4211012000,강원도 춘천시 후평동
4211012100,강원도 춘천시 온의동
4211012200,강원도 춘천시 교동
4211012300,강원도 춘천시 퇴계동
4211012400,강원도 춘천시 석사동
4211012500,강원도 춘천시 삼천동
4211012600,강원도 춘천시 칠전동
4211012700,강원도 춘천시 송암동
4211012800,강원도 춘천시 신동
4211012900,강원도 춘천시 중도동
4211025000,강원도 춘천시 신북읍
4211025021,강원도 춘천시 신북읍 율문리
4211025022,강원도 춘천시 신북읍 천전리
4211025023,강원도 춘천시 신북읍 유포리
4211025024,강원도 춘천시 신북읍 산천리
4211025025,강원도 춘천시 신북읍 발산리
4211025026,강원도 춘천시 신북읍 지내리
4211025027,강원도 춘천시 신북읍 용산리
4211031000,강원도 춘천시 동면
4211031021,강원도 춘천시 동면 지내리
4211031022,강원도 춘천시 동면 만천리
4211031023,강원도 춘천시 동면 장학리
4211031024,강원도 춘천시 동면 감정리
4211031025,강원도 춘천시 동면 월곡리
4211031026,강원도 춘천시 동면 품안리
4211031027,강원도 춘천시 동면 품걸리
4211031028,강원도 춘천시 동면 신이리
4211031029,강원도 춘천시 동면 평촌리
4211031030,강원도 춘천시 동면 상걸리
4211032000,강원도 춘천시 동산면
4211032021,강원도 춘천시 동산면 조양리
4211032022,강원도 춘천시 동산면 봉명리
4211032023,강원도 춘천시 동산면 원창리
4211032024,강원도 춘천시 동산면 군자리
4211033000,강원도 춘천시 신동면
4211033021,강원도 춘천시 신동면 의암리
4211033022,강원도 춘천시 신동면 팔미리
4211033023,강원도 춘천시 신동면 혈동리
4211033024,강원도 춘천시 신동면 증리
4211033025,강원도 춘천시 신동면 정족리
4211034000,강원도 춘천시 남면
4211034021,강원도 춘천시 남면 관천리
4211034022,강원도 춘천시 남면 박암리
4211034023,강원도 춘천시 남면 가정리
4211034024,강원도 춘천시 남면 발산리
4211034025,강원도 춘천시 남면 후동리
4211034026,강원도 춘천시 남면 추곡리
4211034027,강원도 춘천시 남면 한덕리
4211035000,강원도 춘천시 서면
4211035021,강원도 춘천시 서면 현암리
4211035022,강원도 춘천시 서면 금산리
4211035023,강원도 춘천시 서면 신매리
4211035024,강원도 춘천시 서면 서상리
4211035025,강원도 춘천시 서면 오월리
4211035026,강원도 춘천시 서면 월송리
4211035027,강원도 춘천시 서면 방동리
4211035028,강원도 춘천시 서면 덕두원리
4211035029,강원도 춘천시 서면 당림리
4211035030,강원도 춘천시 서면 안보리
4211036000,강원도 춘천시 사북면
4211036021,강원도 춘천시 사북면 신포리
4211036022,강원도 춘천시 사북면 지촌리
4211036023,강원도 춘천시 사북면 오탄리
4211036024,강원도 춘천시 사북면 가일리
4211036025,강원도 춘천시 사북면 원평리
4211036026,강원도 춘천시 사북면 지암리
4211036027,강원도 춘천시 사북면 고탄리
4211036028,강원도 춘천시 사북면 고성리
4211036029,강원도 춘천시 사북면 송암리
4211036030,강원도 춘천시 사북면 인람리
4211038000,강원도 춘천시 북산면
4211038021,강원도 춘천시 북산면 내평리
4211038022,강원도 춘천시 북산면 청평리
4211038023,강원도 춘천시 북산면 부귀리
4211038024,강원도 춘천시 북산면 추곡리
4211038025,강원도 춘천시 북산면 오항리
4211038026,강원도 춘천시 북산면 물로리
4211038027,강원도 춘천시 북산면 조교리
4211038028,강원도 춘천시 북산면 대동리
4211038029,강원도 춘천시 북산면 대곡리
4211038030,강원도 춘천시 북산면 추전리
4211039000,강원도 춘천시 동내면
4211039021,강원도 춘천시 동내면 거두리
4211039022,강원도 춘천시 동내면 신촌리
4211039023,강원도 춘천시 동내면 고은리
4211039024,강원도 춘천시 동내면 사암리
4211039025,강원도 춘천시 동내면 학곡리
4211040000,강원도 춘천시 남산면
4211040022,강원도 춘천시 남산면 광판리
4211040023,강원도 춘천시 남산면 행촌리
4211040024,강원도 춘천시 남산면 수동리
